Title,MLM_Sentence
Urban and Regional Planners,"[MASK] develop comprehensive plans and programs for use of land and physical facilities of jurisdictions, such as towns, cities, counties, and metropolitan areas."
Anthropologists and Archeologists,"[MASK] study the origin, development, and behavior of human beings."
Geographers,"[MASK] study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena."
Historians,"[MASK] research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters."
Political Scientists,"[MASK] study the origin, development, and operation of political systems."
"Social Scientists and Related Workers, All Other",[MASK] all social scientists and related workers not listed separately.
Transportation Planners,[MASK] prepare studies for proposed transportation projects.
Agricultural Technicians,"[MASK] work with agricultural scientists in plant, fiber, and animal research, or assist with animal breeding and nutrition."
Precision Agriculture Technicians,"[MASK] apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation."
Food Science Technicians,[MASK] work with food scientists or technologists to perform standardized qualitative and quantitative tests to determine physical or chemical properties of food or beverage products.
Biological Technicians,[MASK] assist biological and medical scientists.
Chemical Technicians,"[MASK] conduct chemical and physical laboratory tests to assist scientists in making qualitative and quantitative analyses of solids, liquids, and gaseous materials for research and development of new products or processes, quality control, maintenance of environmental standards, and other work involving experimental, theoretical, or practical application of chemistry and related sciences."
"Environmental Science and Protection Technicians, Including Health","[MASK] perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist."
"Geological Technicians, Except Hydrologic Technicians","[MASK] assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in laboratory, exploration, and production activities to obtain data indicating resources such as metallic ore, minerals, gas, coal, or petroleum."
Hydrologic Technicians,"[MASK] collect and organize data concerning the distribution and circulation of ground and surface water, and data on its physical, chemical, and biological properties."
Nuclear Technicians,"[MASK] assist nuclear physicists, nuclear engineers, or other scientists in laboratory, power generation, or electricity production activities."
Nuclear Monitoring Technicians,"[MASK] collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment."
Social Science Research Assistants,"[MASK] assist social scientists in laboratory, survey, and other social science research."
Forest and Conservation Technicians,"[MASK] provide technical assistance regarding the conservation of soil, water, forests, or related natural resources."
Forensic Science Technicians,"[MASK] collect, identify, classify, and analyze physical evidence related to criminal investigations."
"Life, Physical, and Social Science Technicians, All Other","[MASK] all life, physical, and social science technicians not listed separately."
Quality Control Analysts,"[MASK] conduct tests to determine quality of raw materials, bulk intermediate and finished products."
Remote Sensing Technicians,"[MASK] apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security."
Occupational Health and Safety Specialists,"[MASK] review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors."
Occupational Health and Safety Technicians,[MASK] collect data on work environments for analysis by occupational health and safety specialists.
Substance Abuse and Behavioral Disorder Counselors,"[MASK] counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders."
"Educational, Guidance, and Career Counselors and Advisors",[MASK] advise and assist students and provide educational and vocational guidance services.
Marriage and Family Therapists,"[MASK] diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems."
Mental Health Counselors,"[MASK] counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on prevention."
Rehabilitation Counselors,"[MASK] counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, aging, or the stress of daily life."
"Counselors, All Other",[MASK] all counselors not listed separately.
"Child, Family, and School Social Workers",[MASK] provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children.
Healthcare Social Workers,"[MASK] provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses."
Mental Health and Substance Abuse Social Workers,"[MASK] assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs."
"Social Workers, All Other",[MASK] all social workers not listed separately.
Health Education Specialists,"[MASK] provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles."
Probation Officers and Correctional Treatment Specialists,[MASK] provide social services to assist in rehabilitation of law offenders in custody or on probation or parole.
Social and Human Service Assistants,"[MASK] assist other social and human service providers in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families."
Community Health Workers,[MASK] promote health within a community by assisting individuals to adopt healthy behaviors.
"Community and Social Service Specialists, All Other",[MASK] all community and social service specialists not listed separately.
Clergy,[MASK] conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination.
"Directors, Religious Activities and Education",[MASK] coordinate or design programs and conduct outreach to promote the religious education or activities of a denominational group.
"Religious Workers, All Other",[MASK] all religious workers not listed separately.
Lawyers,"[MASK] represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions."
Judicial Law Clerks,[MASK] assist judges in court or by conducting research or preparing legal documents.
"Administrative Law Judges, Adjudicators, and Hearing Officers",[MASK] conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters.
"Arbitrators, Mediators, and Conciliators",[MASK] facilitate negotiation and conflict resolution through dialogue.
"Judges, Magistrate Judges, and Magistrates","[MASK] arbitrate, advise, adjudicate, or administer justice in a court of law."
Paralegals and Legal Assistants,"[MASK] assist lawyers by investigating facts, preparing legal documents, or researching legal precedent."
"Title Examiners, Abstractors, and Searchers","[MASK] search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes."
"Legal Support Workers, All Other",[MASK] all legal support workers not listed separately.
"Business Teachers, Postsecondary","[MASK] teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research."
"Computer Science Teachers, Postsecondary",[MASK] teach courses in computer science.
"Mathematical Science Teachers, Postsecondary","[MASK] teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations."
"Architecture Teachers, Postsecondary","[MASK] teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture."
"Engineering Teachers, Postsecondary","[MASK] teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services."
"Agricultural Sciences Teachers, Postsecondary",[MASK] teach courses in the agricultural sciences.
"Biological Science Teachers, Postsecondary",[MASK] teach courses in biological sciences.
"Forestry and Conservation Science Teachers, Postsecondary",[MASK] teach courses in forestry and conservation science.
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","[MASK] teach courses in the physical sciences, except chemistry and physics."
"Chemistry Teachers, Postsecondary",[MASK] teach courses pertaining to the chemical and physical properties and compositional changes of substances.
"Environmental Science Teachers, Postsecondary",[MASK] teach courses in environmental science.
"Physics Teachers, Postsecondary",[MASK] teach courses pertaining to the laws of matter and energy.
"Anthropology and Archeology Teachers, Postsecondary",[MASK] teach courses in anthropology or archeology.
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","[MASK] teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs."
"Economics Teachers, Postsecondary",[MASK] teach courses in economics.
"Geography Teachers, Postsecondary",[MASK] teach courses in geography.
"Political Science Teachers, Postsecondary","[MASK] teach courses in political science, international affairs, and international relations."
"Psychology Teachers, Postsecondary","[MASK] teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling."
"Sociology Teachers, Postsecondary",[MASK] teach courses in sociology.
"Social Sciences Teachers, Postsecondary, All Other",[MASK] all postsecondary social sciences teachers not listed separately.
"Health Specialties Teachers, Postsecondary","[MASK] teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine."
"Nursing Instructors and Teachers, Postsecondary",[MASK] demonstrate and teach patient care in classroom and clinical units to nursing students.
"Education Teachers, Postsecondary","[MASK] teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language."
"Library Science Teachers, Postsecondary",[MASK] teach courses in library science.
"Criminal Justice and Law Enforcement Teachers, Postsecondary","[MASK] teach courses in criminal justice, corrections, and law enforcement administration."
"Law Teachers, Postsecondary",[MASK] teach courses in law.
"Social Work Teachers, Postsecondary",[MASK] teach courses in social work.
"Art, Drama, and Music Teachers, Postsecondary","[MASK] teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts."
"Communications Teachers, Postsecondary","[MASK] teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism."
"English Language and Literature Teachers, Postsecondary","[MASK] teach courses in English language and literature, including linguistics and comparative literature."
"Foreign Language and Literature Teachers, Postsecondary",[MASK] teach languages and literature courses in languages other than English.
"History Teachers, Postsecondary",[MASK] teach courses in human history and historiography.
"Philosophy and Religion Teachers, Postsecondary","[MASK] teach courses in philosophy, religion, and theology."
"Family and Consumer Sciences Teachers, Postsecondary","[MASK] teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management."
"Recreation and Fitness Studies Teachers, Postsecondary","[MASK] teach courses pertaining to recreation, leisure, and fitness studies, including exercise physiology and facilities management."
"Career/Technical Education Teachers, Postsecondary","[MASK] teach vocational courses intended to provide occupational training below the baccalaureate level in subjects such as construction, mechanics/repair, manufacturing, transportation, or cosmetology, primarily to students who have graduated from or left high school."
"Postsecondary Teachers, All Other",[MASK] all postsecondary teachers not listed separately.
"Preschool Teachers, Except Special Education","[MASK] instruct preschool-aged students, following curricula or lesson plans, in activities designed to promote social, physical, and intellectual growth."
"Kindergarten Teachers, Except Special Education",[MASK] teach academic and social skills to kindergarten students.
"Elementary School Teachers, Except Special Education",[MASK] teach academic and social skills to students at the elementary school level.
"Middle School Teachers, Except Special and Career/Technical Education","[MASK] teach one or more subjects to students at the middle, intermediate, or junior high school level."
"Career/Technical Education Teachers, Middle School","[MASK] teach occupational, vocational, career, or technical subjects to students at the middle, intermediate, or junior high school level."
"Secondary School Teachers, Except Special and Career/Technical Education",[MASK] teach one or more subjects to students at the secondary school level.
"Career/Technical Education Teachers, Secondary School","[MASK] teach occupational, vocational, career, or technical subjects to students at the secondary school level."
"Special Education Teachers, Preschool","[MASK] teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities."
"Special Education Teachers, Kindergarten","[MASK] teach academic, social, and life skills to kindergarten students with learning, emotional, or physical disabilities."
"Special Education Teachers, Elementary School","[MASK] teach academic, social, and life skills to elementary school students with learning, emotional, or physical disabilities."
"Special Education Teachers, Middle School","[MASK] teach academic, social, and life skills to middle school students with learning, emotional, or physical disabilities."
"Special Education Teachers, Secondary School","[MASK] teach academic, social, and life skills to secondary school students with learning, emotional, or physical disabilities."
"Special Education Teachers, All Other",[MASK] all special education teachers not listed separately.
Adapted Physical Education Specialists,"[MASK] provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments."
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","[MASK] teach or instruct out-of-school youths and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential."
Self-Enrichment Teachers,"[MASK] teach or instruct individuals or groups for the primary purpose of self-enrichment or recreation, rather than for an occupational objective, educational attainment, competition, or fitness."
"Substitute Teachers, Short-Term","[MASK] teach students on a short-term basis as a temporary replacement for a regular classroom teacher, typically using the regular teacher's lesson plan."
Tutors,[MASK] instruct individual students or small groups of students in academic subjects to support formal class instruction or to prepare students for standardized or admissions tests.
"Teachers and Instructors, All Other",[MASK] all teachers and instructors not listed separately.
Archivists,"[MASK] appraise, edit, and direct safekeeping of permanent records and historically valuable documents."
Curators,"[MASK] administer collections, such as artwork, collectibles, historic items, or scientific specimens of museums or other institutions."
Museum Technicians and Conservators,"[MASK] restore, maintain, or prepare objects in museum collections for storage, research, or exhibit."
Librarians and Media Collections Specialists,"[MASK] administer and maintain libraries or collections of information, for public or private access through reference or borrowing."
Library Technicians,"[MASK] assist librarians by helping readers in the use of library catalogs, databases, and indexes to locate books and other materials; and by answering questions that require only brief consultation of standard reference."
Farm and Home Management Educators,"[MASK] instruct and advise individuals and families engaged in agriculture, agricultural-related processes, or home management activities."
Instructional Coordinators,"[MASK] develop instructional material, coordinate educational content, and incorporate current technology into instruction in order to provide guidelines to educators and instructors for developing curricula and conducting courses."
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education","[MASK] assist a preschool, elementary, middle, or secondary school teacher with instructional duties."
"Teaching Assistants, Special Education","[MASK] assist a preschool, elementary, middle, or secondary school teacher to provide academic, social, or life skills to students who have learning, emotional, or physical disabilities."
"Teaching Assistants, Postsecondary","[MASK] assist faculty or other instructional staff in postsecondary institutions by performing instructional support activities, such as developing teaching materials, leading discussion groups, preparing and giving examinations, and grading examinations or papers."
"Teaching Assistants, All Other",[MASK] all teaching assistants not listed separately.
"Educational Instruction and Library Workers, All Other",[MASK] all educational instruction and library workers not listed separately.
Art Directors,"[MASK] formulate design concepts and presentation approaches for visual productions and media, such as print, broadcasting, video, and film."
Craft Artists,"[MASK] create or reproduce handmade objects for sale and exhibition using a variety of techniques, such as welding, weaving, pottery, and needlecraft."
"Fine Artists, Including Painters, Sculptors, and Illustrators",[MASK] create original artwork using any of a wide variety of media and techniques.
Special Effects Artists and Animators,"[MASK] create special effects or animations using film, video, computers, or other electronic tools and media for use in products, such as computer games, movies, music videos, and commercials."
"Artists and Related Workers, All Other",[MASK] all artists and related workers not listed separately.
Commercial and Industrial Designers,"[MASK] design and develop manufactured products, such as cars, home appliances, and children's toys."
Fashion Designers,[MASK] design clothing and accessories.
Floral Designers,"[MASK] design, cut, and arrange live, dried, or artificial flowers and foliage."
Graphic Designers,"[MASK] design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos."
Interior Designers,"[MASK] plan, design, and furnish the internal space of rooms or buildings."
Merchandise Displayers and Window Trimmers,"[MASK] plan and erect commercial displays, such as those in windows and interiors of retail stores and at trade exhibitions."
Set and Exhibit Designers,"[MASK] design special exhibits and sets for film, video, television, and theater productions."
"Designers, All Other",[MASK] all designers not listed separately.
Actors,"[MASK] play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction."
Producers and Directors,"[MASK] produce or direct stage, television, radio, video, or film productions for entertainment, information, or instruction."
Media Programming Directors,"[MASK] direct and coordinate activities of personnel engaged in preparation of radio or television station program schedules and programs, such as sports or news."
Talent Directors,"[MASK] audition and interview performers to select most appropriate talent for parts in stage, television, radio, or motion picture productions."
Media Technical Directors/Managers,"[MASK] coordinate activities of technical departments, such as taping, editing, engineering, and maintenance, to produce radio or television programs."
Athletes and Sports Competitors,[MASK] compete in athletic events.
Coaches and Scouts,[MASK] instruct or coach groups or individuals in the fundamentals of sports for the primary purpose of competition.
"Umpires, Referees, and Other Sports Officials",[MASK] officiate at competitive athletic or sporting events.
Dancers,[MASK] perform dances.
Choreographers,[MASK] create new dance routines.
Music Directors and Composers,"[MASK] conduct, direct, plan, and lead instrumental or vocal performances by musical artists or groups, such as orchestras, bands, choirs, and glee clubs; or create original works of music."
Musicians and Singers,[MASK] play one or more musical instruments or sing.
"Disc Jockeys, Except Radio","[MASK] play prerecorded music for live audiences at venues or events such as clubs, parties, or wedding receptions."
"Entertainers and Performers, Sports and Related Workers, All Other","[MASK] all entertainers and performers, sports and related workers not listed separately."
Broadcast Announcers and Radio Disc Jockeys,"[MASK] speak or read from scripted materials, such as news reports or commercial messages, on radio, television, or other communications media."
"News Analysts, Reporters, and Journalists","[MASK] narrate or write news stories, reviews, or commentary for print, broadcast, or other communications media such as newspapers, magazines, radio, or television."
Public Relations Specialists,"[MASK] promote or create an intended public image for individuals, groups, or organizations."
Editors,"[MASK] plan, coordinate, revise, or edit written material."
Technical Writers,"[MASK] write technical materials, such as equipment manuals, appendices, or operating and maintenance instructions."
Writers and Authors,"[MASK] originate and prepare written material, such as scripts, stories, advertisements, and other material."
"Poets, Lyricists and Creative Writers","[MASK] create original written works, such as scripts, essays, prose, poetry or song lyrics, for publication or performance."
Interpreters and Translators,"[MASK] interpret oral or sign language, or translate written text from one language into another."
Court Reporters and Simultaneous Captioners,"[MASK] use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information."
"Media and Communication Workers, All Other",[MASK] all media and communication workers not listed separately.
Audio and Video Technicians,"[MASK] set up, maintain, and dismantle audio and video equipment, such as microphones, sound speakers, connecting wires and cables, sound and mixing boards, video cameras, video monitors and servers, and related electronic equipment for live or recorded events, such as concerts, meetings, conventions, presentations, podcasts, news conferences, and sporting events."
Broadcast Technicians,"[MASK] set up, operate, and maintain the electronic equipment used to acquire, edit, and transmit audio and video for radio or television programs."
Sound Engineering Technicians,"[MASK] assemble and operate equipment to record, synchronize, mix, edit, or reproduce sound, including music, voices, or sound effects, for theater, video, film, television, podcasts, sporting events, and other productions."
Lighting Technicians,"[MASK] set up, maintain, and dismantle light fixtures, lighting control devices, and the associated lighting electrical and rigging equipment used for photography, television, film, video, and live productions."
Photographers,"[MASK] photograph people, landscapes, merchandise, or other subjects."
"Camera Operators, Television, Video, and Film","[MASK] operate television, video, or film camera to record images or scenes for television, video, or film productions."
Film and Video Editors,"[MASK] edit moving images on film, video, or other media."
"Media and Communication Equipment Workers, All Other",[MASK] all media and communication equipment workers not listed separately.
Chiropractors,"[MASK] assess, treat, and care for patients by manipulation of spine and musculoskeletal system."
"Dentists, General","[MASK] examine, diagnose, and treat diseases, injuries, and malformations of teeth and gums."
Oral and Maxillofacial Surgeons,"[MASK] perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects."
Orthodontists,"[MASK] examine, diagnose, and treat dental malocclusions and oral cavity anomalies."
Prosthodontists,"[MASK] diagnose, treat, rehabilitate, design, and fit prostheses that maintain oral function, health, and appearance for patients with clinical conditions associated with teeth, oral and maxillofacial tissues, or the jaw."
"Dentists, All Other Specialists",[MASK] all dentists not listed separately.
Dietitians and Nutritionists,[MASK] plan and conduct food service or nutritional programs to assist in the promotion of health and control of disease.
Optometrists,"[MASK] diagnose, manage, and treat conditions and diseases of the human eye and visual system."
Pharmacists,[MASK] dispense drugs prescribed by physicians and other health practitioners and provide information to patients about medications and their use.
Physician Assistants,"[MASK] provide healthcare services typically performed by a physician, under the supervision of a physician."
Anesthesiologist Assistants,[MASK] assist anesthesiologists in the administration of anesthesia for surgical and non-surgical procedures.
Podiatrists,[MASK] diagnose and treat diseases and deformities of the human foot.
Occupational Therapists,"[MASK] assess, plan, and organize rehabilitative programs that help build or restore vocational, homemaking, and daily living skills, as well as general independence, to persons with disabilities or developmental delays."
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",[MASK] provide therapy to patients with visual impairments to improve their functioning in daily life activities.
Physical Therapists,"[MASK] assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury."
Radiation Therapists,[MASK] provide radiation therapy to patients as prescribed by a radiation oncologist according to established practices and standards.
Recreational Therapists,"[MASK] plan, direct, or coordinate medically-approved recreation programs for patients in hospitals, nursing homes, or other institutions."
Respiratory Therapists,"[MASK] assess, treat, and care for patients with breathing disorders."
Speech-Language Pathologists,"[MASK] assess and treat persons with speech, language, voice, and fluency disorders."
Exercise Physiologists,"[MASK] assess, plan, or implement fitness programs that include exercise or physical activities such as those designed to improve cardiorespiratory function, body composition, muscular strength, muscular endurance, or flexibility."
"Therapists, All Other",[MASK] all therapists not listed separately.
Art Therapists,"[MASK] plan or conduct art therapy sessions or programs to improve clients' physical, cognitive, or emotional well-being."
Music Therapists,"[MASK] plan, organize, direct, or assess clinical and evidenced-based music therapy interventions to positively influence individuals' physical, psychological, cognitive, or behavioral status."
Veterinarians,"[MASK] diagnose, treat, or research diseases and injuries of animals."
Registered Nurses,"[MASK] assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records."
Acute Care Nurses,"[MASK] provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock."
Advanced Practice Psychiatric Nurses,"[MASK] assess, diagnose, and treat individuals and families with mental health or substance use disorders or the potential for such disorders."
Critical Care Nurses,[MASK] provide specialized nursing care for patients in critical or coronary care units.
Clinical Nurse Specialists,"[MASK] direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home."
Nurse Anesthetists,"[MASK] administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia."
Nurse Midwives,"[MASK] diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team."
Nurse Practitioners,"[MASK] diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team."
Audiologists,[MASK] assess and treat persons with hearing and related disorders.
Anesthesiologists,"[MASK] administer anesthetics and analgesics for pain management prior to, during, or after surgery."
Cardiologists,"[MASK] diagnose, treat, manage, and prevent diseases or conditions of the cardiovascular system."
Dermatologists,"[MASK] diagnose and treat diseases relating to the skin, hair, and nails."
Emergency Medicine Physicians,[MASK] make immediate medical decisions and act to prevent death or further disability.
Family Medicine Physicians,"[MASK] diagnose, treat, and provide preventive care to individuals and families across the lifespan."
General Internal Medicine Physicians,[MASK] diagnose and provide nonsurgical treatment for a wide range of diseases and injuries of internal organ systems.
Neurologists,"[MASK] diagnose, manage, and treat disorders and diseases of the brain, spinal cord, and peripheral nerves, with a primarily nonsurgical focus."
Obstetricians and Gynecologists,[MASK] provide medical care related to pregnancy or childbirth.
"Pediatricians, General","[MASK] diagnose, treat, and help prevent diseases and injuries in children."
"Physicians, Pathologists","[MASK] diagnose diseases and conduct lab tests using organs, body tissues, and fluids."
Psychiatrists,"[MASK] diagnose, treat, and help prevent mental disorders."
Radiologists,"[MASK] diagnose and treat diseases and injuries using medical imaging techniques, such as x rays, magnetic resonance imaging (MRI), nuclear medicine, and ultrasounds."
"Physicians, All Other",[MASK] all physicians not listed separately.
Allergists and Immunologists,"[MASK] diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system."
Hospitalists,"[MASK] provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms."
Urologists,"[MASK] diagnose, treat, and help prevent benign and malignant medical and surgical disorders of the genitourinary system and the renal glands."
Physical Medicine and Rehabilitation Physicians,"[MASK] diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation."
Preventive Medicine Physicians,"[MASK] apply knowledge of general preventive medicine and public health issues to promote health care to groups or individuals, and aid in the prevention or reduction of risk of disease, injury, disability, or death."
Sports Medicine Physicians,"[MASK] diagnose, treat, and help prevent injuries that occur during sporting events, athletic training, and physical activities."
"Ophthalmologists, Except Pediatric",[MASK] diagnose and perform surgery to treat and help prevent disorders and diseases of the eye.
"Orthopedic Surgeons, Except Pediatric",[MASK] diagnose and perform surgery to treat and prevent rheumatic and other diseases in the musculoskeletal system.
Pediatric Surgeons,"[MASK] diagnose and perform surgery to treat fetal abnormalities and birth defects, diseases, and injuries in fetuses, premature and newborn infants, children, and adolescents."
"Surgeons, All Other",[MASK] all surgeons not listed separately.
Acupuncturists,"[MASK] diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles."
Dental Hygienists,[MASK] administer oral hygiene care to patients.
"Healthcare Diagnosing or Treating Practitioners, All Other",[MASK] all healthcare diagnosing or treating practitioners not listed separately.
Naturopathic Physicians,"[MASK] diagnose, treat, and help prevent diseases using a system of practice that is based on the natural healing capacity of individuals."
Orthoptists,[MASK] diagnose and treat visual system disorders such as binocular vision and eye movement impairments.
Medical and Clinical Laboratory Technologists,"[MASK] perform complex medical laboratory tests for diagnosis, treatment, and prevention of disease."
Cytogenetic Technologists,"[MASK] analyze chromosomes or chromosome segments found in biological specimens, such as amniotic fluids, bone marrow, solid tumors, and blood to aid in the study, diagnosis, classification, or treatment of inherited or acquired genetic diseases."
Cytotechnologists,"[MASK] stain, mount, and study cells to detect evidence of cancer, hormonal abnormalities, and other pathological conditions following established standards and practices."
Histotechnologists,[MASK] apply knowledge of health and disease causes to evaluate new laboratory techniques and procedures to examine tissue samples.
Medical and Clinical Laboratory Technicians,"[MASK] perform routine medical laboratory tests for the diagnosis, treatment, and prevention of disease."
Histology Technicians,[MASK] prepare histological slides from tissue sections for microscopic examination and diagnosis by pathologists.
Cardiovascular Technologists and Technicians,"[MASK] conduct tests on pulmonary or cardiovascular systems of patients for diagnostic, therapeutic, or research purposes."
Diagnostic Medical Sonographers,[MASK] produce ultrasonic recordings of internal organs for use by physicians.
Nuclear Medicine Technologists,"[MASK] prepare, administer, and measure radioactive isotopes in therapeutic, diagnostic, and tracer studies using a variety of radioisotope equipment."
Radiologic Technologists and Technicians,[MASK] take x-rays and CAT scans or administer nonradioactive materials into patient's bloodstream for diagnostic or research purposes.
Magnetic Resonance Imaging Technologists,[MASK] operate Magnetic Resonance Imaging (MRI) scanners.
Medical Dosimetrists,"[MASK] generate radiation treatment plans, develop radiation dose calculations, communicate and supervise the treatment plan implementation, and consult with members of radiation oncology team."
Emergency Medical Technicians,[MASK] assess injuries and illnesses and administer basic emergency medical care.
Paramedics,[MASK] administer basic or advanced emergency medical care and assess injuries and illnesses.
Dietetic Technicians,"[MASK] assist in the provision of food service and nutritional programs, under the supervision of a dietitian."
Pharmacy Technicians,[MASK] prepare medications under the direction of a pharmacist.
Psychiatric Technicians,"[MASK] care for individuals with mental or emotional conditions or disabilities, following the instructions of physicians or other health practitioners."
Surgical Technologists,"[MASK] assist in operations, under the supervision of surgeons, registered nurses, or other surgical personnel."
Veterinary Technologists and Technicians,[MASK] perform medical tests in a laboratory environment for use in the treatment and diagnosis of diseases in animals.
Ophthalmic Medical Technicians,[MASK] assist ophthalmologists by performing ophthalmic clinical functions.
Licensed Practical and Licensed Vocational Nurses,"[MASK] care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions."
Medical Records Specialists,"[MASK] compile, process, and maintain medical records of hospital and clinic patients in a manner consistent with medical, administrative, ethical, legal, and regulatory requirements of the healthcare system."
"Opticians, Dispensing","[MASK] design, measure, fit, and adapt lenses and frames for client according to written optical prescription or specification."
Orthotists and Prosthetists,"[MASK] design, measure, fit, and adapt orthopedic braces, appliances or prostheses, such as limbs or facial parts for patients with disabling conditions."
Hearing Aid Specialists,[MASK] select and fit hearing aids for customers.
"Health Technologists and Technicians, All Other",[MASK] all health technologists and technicians not listed separately.
Neurodiagnostic Technologists,"[MASK] conduct electroneurodiagnostic (END) tests such as electroencephalograms, evoked potentials, polysomnograms, or electronystagmograms."
Ophthalmic Medical Technologists,[MASK] assist ophthalmologists by performing ophthalmic clinical functions and ophthalmic photography.
Patient Representatives,"[MASK] assist patients in obtaining services, understanding policies and making health care decisions."
Health Information Technologists and Medical Registrars,"[MASK] apply knowledge of healthcare and information systems to assist in the design, development, and continued modification and analysis of computerized healthcare systems."
Athletic Trainers,[MASK] evaluate and treat musculoskeletal injuries or illnesses.
Genetic Counselors,"[MASK] assess individual or family risk for a variety of inherited conditions, such as genetic disorders and birth defects."
Surgical Assistants,"[MASK] assist in operations, under the supervision of surgeons."
"Healthcare Practitioners and Technical Workers, All Other",[MASK] all healthcare practitioners and technical workers not listed separately.
Midwives,[MASK] provide prenatal care and childbirth assistance.
Home Health Aides,"[MASK] monitor the health status of an individual with disabilities or illness, and address their health-related needs, such as changing bandages, dressing wounds, or administering medication."
Personal Care Aides,"[MASK] provide personalized assistance to individuals with disabilities or illness who require help with personal care and activities of daily living support (e.g., feeding, bathing, dressing, grooming, toileting, and ambulation)."
Nursing Assistants,[MASK] provide or assist with basic care or support under the direction of onsite licensed nursing staff.
Orderlies,"[MASK] transport patients to areas such as operating rooms or x-ray rooms using wheelchairs, stretchers, or moveable beds."
